Code	Name	On Sea	Type	Can Wait
332	OS2	0	OT	1
333	OS3	0	OT	1
334	OS4	0	OT	1
335	OS5	0	OT	1
336	OS6	0	OT	1
337	OS7	0	OT	1
338	OS8	0	OT	1
339	OS9	0	OT	1
340	OSCJ1	0	OT	1
341	OSCJ2	0	OT	1
342	OSE1A	0	OT	1
343	OSE1B	0	OT	1
344	OSE1C	0	OT	1
345	OSECC	0	OT	1
346	OSEL	0	OT	1
347	OSK1	0	OT	1
348	OSK1A	0	OT	1
349	OSK2	0	OT	1
350	OSK3	0	OT	1
351	OSK4	0	OT	1
352	OSPJ	0	OT	1
353	OSPS1	0	OT	1
354	OSPS2	0	OT	1
355	OSPS3	0	OT	1
356	OSR1P	0	OT	1
357	OSR2P	0	OT	1
358	OSR3T	0	OT	1
359	OSR4T	0	OT	1
360	OSR5P	0	OT	1
361	OSR6T	0	OT	1
362	OSR7T	0	OT	1
363	OSSBM	0	OT	1
364	OSV10	0	OT	1
365	OSV2	0	OT	1
366	OSV3	0	OT	1
367	OSV4	0	OT	1
368	OSV5	0	OT	1
369	OSV6	0	OT	1
370	OSV7	0	OT	1
371	OSV8	0	OT	1
372	OSV9	0	OT	1
373	OSWJ	0	OT	1
374	OTK1	0	OT	1
375	OTK11	0	OT	1
376	OTK12	0	OT	1
377	OTK18	0	OT	1
378	OTK19	0	OT	1
379	OTK2	0	OT	1
380	OTK20	0	OT	1
381	OTK21	0	OT	1
382	OTK3	0	OT	1
383	OTK4	0	OT	1
384	OTK5	0	OT	1
385	OTK6	0	OT	1
386	OTK9	0	OT	1
387	OTPSJ	0	OT	1
388	OTS1	0	OT	1
389	OTS10	0	OT	1
390	OTS2	0	OT	1
391	OTS3	0	OT	1
392	OTS4	0	OT	1
393	OTS5	0	OT	1
394	OTS5E	0	OT	1
395	OTS5W	0	OT	1
396	OTS6	0	OT	1
397	OTS7	0	OT	1
398	OTS8	0	OT	1
399	OTS9	0	OT	1
400	OTSL	0	OT	1
401	OVL1	0	OT	1
402	OVL2	0	OT	1
403	OVPJ1	0	OT	1
404	OVPJ2	0	OT	1
405	OVPJ3	0	OT	1
406	P01	0	CT	1
407	P02	0	CT	1
408	P03	0	CT	1
409	P04	0	CT	1
410	P05	0	CT	1
411	P06	0	CT	1
412	P07	0	CT	1
413	P08	0	CT	1
414	P09	0	CT	1
415	P10	0	CT	1
416	P11	0	CT	1
417	P20	0	CT	1
418	P21	0	CT	1
419	P22	0	CT	1
420	P23	0	CT	1
421	P24	0	CT	1
422	P25	0	CT	1
423	P26	0	CT	1
424	PBSB	0	OTHER	1
